id,taux_retard_precedent,category_id,jour_semaine_emprunt,mois_emprunt,nb_locations_actives_ce_jour
3,0.33,7,4,6,5
4,0,7,0,5,2
8,0,3,4,3,1
9,0,5,4,4,1
16,0,6,3,6,2
21,0.6,2,4,6,4
22,0,6,5,7,3
23,1,5,4,5,4
25,0,2,5,6,1
30,0,4,1,5,3
32,0,4,1,3,2
36,0,8,2,4,4
38,0,4,5,4,3
45,0,5,0,5,1
46,0,8,5,4,3
48,1,6,2,7,3
49,1,5,6,8,7
54,1,4,3,5,3
56,1,4,1,5,2
58,0,5,2,3,2
60,0,7,6,3,2
72,0,7,4,4,1
73,0,3,4,7,5
75,0,7,3,4,2
79,0.2,5,0,7,2
82,0,5,3,3,1
84,0.25,7,4,8,7
85,0.5,6,6,4,5
87,0,7,5,6,1
88,1,4,3,6,3
92,0.25,6,0,7,4
93,0,3,2,3,2
97,0,8,4,4,2
98,0.5,2,6,6,4
99,0.25,1,2,6,3
100,0,3,2,3,1
102,0,3,5,3,1
107,0,7,0,4,2
111,0.33,2,3,7,2
113,0,1,5,3,1
115,0,5,2,4,1
116,0.75,1,1,8,6
117,0,7,1,7,1
118,0.5,3,4,7,5
123,1,4,5,5,5
125,0,2,2,4,1
127,1,7,5,5,3
128,0.5,8,0,4,2
129,0.5,5,4,8,5
130,0,1,1,4,2
131,0,6,3,5,1
137,0.5,8,1,8,5
144,0,5,6,7,5
146,0,3,3,5,2
151,0.5,4,6,8,3
152,0,3,3,4,1
156,0,6,1,4,2
157,0,1,6,5,2
163,0,4,6,3,1
165,0.33,6,0,7,1
168,0.5,5,4,4,5
171,0.67,8,6,8,4
180,0,2,5,5,3
181,0,3,1,5,3
182,1,8,2,8,5
188,0.2,3,6,6,5
189,1,4,4,4,2
190,0.25,3,1,8,5
192,0.25,2,4,8,2
197,0,2,2,3,1
199,0,3,2,6,3
201,0.6,6,1,8,3
202,0.6,7,1,8,3
204,0,7,2,9,3
205,0,1,2,9,3
206,0.33,1,2,9,1
207,0,3,4,9,3
