user_id,category_id
23,1
31,4
32,7
31,7
21,2
26,5
2,4
8,3
9,5
22,1
27,6
18,2
20,6
14,2
1,1
18,6
17,7
24,7
14,5
29,2
24,2
12,6
11,5
3,3
7,2
10,1
29,8
13,1
14,5
31,4
21,5
20,4
8,6
16,8
18,6
6,8
10,8
21,4
3,2
28,2
13,2
19,4
29,1
18,2
31,5
14,8
16,6
5,6
12,5
18,3
7,2
19,4
11,4
11,4
4,5
5,4
7,8
18,5
6,6
32,7
5,1
30,7
2,6
4,5
18,1
21,2
3,7
3,2
11,2
12,7
15,1
28,7
31,3
19,6
22,7
17,7
7,5
29,5
29,5
11,4
20,6
6,5
6,3
6,7
32,6
23,6
10,7
25,4
27,3
10,2
2,5
15,6
6,3
22,8
32,1
9,8
12,8
14,2
20,1
3,3
7,8
12,3
23,1
29,2
15,2
15,8
9,7
6,1
31,7
30,5
15,2
9,6
32,1
28,2
21,5
11,1
23,7
8,3
14,8
28,5
11,3
6,2
11,4
12,8
25,2
28,1
5,7
20,8
23,5
28,1
19,6
20,7
24,2
8,5
23,6
30,5
8,8
24,8
32,1
20,7
21,6
24,2
3,1
6,5
30,2
8,3
28,5
23,7
16,3
15,7
23,4
14,3
23,3
2,1
25,5
17,6
13,1
3,6
32,4
10,6
14,5
24,6
17,4
30,6
15,6
1,1
4,1
32,5
26,3
28,5
26,8
11,4
12,1
30,3
10,3
29,1
6,6
30,8
2,8
26,2
28,3
12,8
30,1
27,1
26,3
5,4
13,3
20,3
11,4
6,3
16,6
13,2
20,2
11,6
18,6
18,1
26,2
13,6
8,3
8,6
2,6
2,7
2,7
1,7
1,1
4,1
1,3
