user_id,category_id,author_id,jour_semaine_emprunt,en_retard
23,1,3,2,1
31,4,63,1,0
32,7,152,4,1
31,7,147,0,1
21,2,32,5,0
26,5,81,4,0
2,4,64,4,1
8,3,49,4,1
9,5,91,4,1
22,1,20,4,0
27,6,126,1,1
18,2,27,0,0
20,6,119,5,0
14,2,32,4,0
1,1,8,0,0
18,6,107,3,1
17,7,137,5,0
24,7,143,6,0
14,5,96,6,1
29,2,31,1,0
24,2,28,4,1
12,6,106,5,1
11,5,96,4,1
3,3,44,3,0
7,2,32,5,1
10,1,18,0,0
29,8,157,6,0
13,1,12,2,0
14,5,81,3,0
31,4,78,1,1
21,5,89,5,1
20,4,77,1,1
8,6,123,6,0
16,8,157,6,0
18,6,102,4,1
6,8,156,2,1
10,8,157,2,0
21,4,68,5,1
3,2,32,3,0
28,2,31,1,0
13,2,35,3,0
19,4,69,0,0
29,1,12,5,0
18,2,31,6,1
31,5,81,0,1
14,8,160,5,1
16,6,121,3,1
5,6,121,2,1
12,5,91,6,0
18,3,57,2,0
7,2,35,1,0
19,4,75,5,1
11,4,64,2,0
11,4,64,3,1
4,5,88,5,0
5,4,70,1,1
7,8,157,2,0
18,5,100,2,1
6,6,104,4,0
32,7,146,6,1
5,1,19,1,0
30,7,137,5,0
2,6,126,2,1
4,5,81,1,0
18,1,19,1,0
21,2,27,5,0
3,7,146,0,0
3,2,31,4,0
11,2,26,1,1
12,7,149,0,1
15,1,12,6,1
28,7,153,4,1
31,3,44,4,1
19,6,108,6,0
22,7,143,3,1
17,7,140,5,1
7,5,91,2,0
29,5,100,5,0
29,5,90,0,1
11,4,72,2,0
20,6,119,0,0
6,5,99,3,1
6,3,41,4,1
6,7,24,4,0
32,6,110,6,1
23,6,116,3,1
10,7,132,5,1
25,4,69,3,1
27,3,41,5,0
10,2,34,4,0
2,5,99,6,0
15,6,109,0,1
6,3,58,2,1
22,8,157,4,1
32,1,9,0,0
9,8,157,3,0
12,8,157,4,1
14,2,27,6,1
20,1,20,2,1
3,3,41,2,1
7,8,158,3,0
12,3,56,5,1
23,1,25,2,1
29,2,27,3,1
15,2,28,5,0
15,8,157,1,0
9,7,138,0,1
6,1,22,5,0
31,7,154,1,0
30,5,81,5,0
15,2,31,3,1
9,6,117,2,0
32,1,22,5,1
28,2,40,2,0
21,5,91,2,1
11,1,15,1,1
23,7,141,1,1
8,3,45,4,1
14,8,157,6,0
28,5,98,4,1
11,3,41,2,1
6,2,32,4,0
11,4,70,5,1
12,8,158,5,0
25,2,26,2,1
28,1,4,6,0
5,7,151,5,1
20,8,156,0,1
23,5,85,4,0
28,1,9,1,1
19,6,123,3,1
20,7,152,4,0
24,2,27,5,0
8,5,81,3,1
23,6,125,6,0
30,5,97,4,0
8,8,157,1,1
24,8,157,2,1
32,1,12,3,0
20,7,144,4,0
21,6,106,3,1
24,2,26,0,1
3,1,1,5,0
6,5,84,6,1
30,2,28,3,0
8,3,55,3,1
28,5,86,2,0
23,7,152,3,0
16,3,41,0,0
15,7,147,1,0
23,4,75,6,1
14,3,61,3,1
23,3,47,2,0
2,1,1,2,1
25,5,92,4,1
17,6,124,1,1
13,1,15,6,1
3,6,121,0,1
32,4,63,4,1
10,6,125,1,0
14,5,94,5,1
24,6,107,3,1
17,4,71,6,1
30,6,112,4,1
15,6,121,0,1
1,1,12,3,0
4,1,20,3,1
32,5,90,4,1
26,3,51,1,1
28,5,95,5,1
26,8,156,6,1
11,4,70,4,0
12,1,10,5,1
30,3,62,4,1
10,3,58,1,0
29,1,7,0,0
6,6,114,5,1
30,8,156,3,1
2,8,157,4,0
26,2,28,5,1
28,3,62,1,1
12,8,157,2,1
30,1,22,1,0
27,1,21,4,1
26,3,56,0,1
5,4,68,6,1
13,3,59,4,1
20,3,50,6,1
11,4,79,4,1
6,3,57,1,1
16,6,106,5,0
13,2,31,4,1
20,2,40,2,1
11,6,106,3,1
18,6,103,5,0
18,1,11,5,0
26,2,27,2,1
13,6,110,0,0
8,3,47,2,1
8,6,108,6,0
